date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:02	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:03%20GMT	https://az-black-plus.webflow.io/robots.txt		(from )
19:28:03	58639/58639	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:58:03%20GMT	https://az-black-plus.webflow.io/	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/index.html	(from )
19:28:03	152379/152379	---M-Z	200	added ('OK')	text/css	etag:%22e888917e1f226784af5c50d2d232505e%22	https://assets.website-files.com/643e8219320d012584af3b6d/css/az-black-plus.webflow.db26f27ba.css	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/assets.website-files.com/643e8219320d012584af3b6d/css/az-black-plus.webflow.db26f27ba.css	(from https://az-black-plus.webflow.io/)
19:28:04	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://az-black-plus.webflow.io/)
19:28:04	1274/1274	---M--	200	added ('OK')	image/png	etag:%22695dc726ac744c7aa6d563f66ce2b6d5%22	https://assets.website-files.com/643e8219320d012584af3b6d/643e8219320d014edbaf3bc6_Favicon.png	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/assets.website-files.com/643e8219320d012584af3b6d/643e8219320d014edbaf3bc6_Favicon.png	(from https://az-black-plus.webflow.io/)
19:28:04	23848/23848	---M--	200	added ('OK')	image/png	etag:%226724f142d1805fcdb09dfb625fec5f3d%22	https://assets.website-files.com/643e8219320d012584af3b6d/643e8219320d0192a1af3bc7_Webclip.png	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/assets.website-files.com/643e8219320d012584af3b6d/643e8219320d0192a1af3bc7_Webclip.png	(from https://az-black-plus.webflow.io/)
19:28:05	61019/61019	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:58:05%20GMT	https://az-black-plus.webflow.io/features	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/features.html	(from https://az-black-plus.webflow.io/)
19:28:05	53440/53440	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:58:05%20GMT	https://az-black-plus.webflow.io/about	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/about.html	(from https://az-black-plus.webflow.io/)
19:28:05	46506/46506	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:58:05%20GMT	https://az-black-plus.webflow.io/pricing	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/pricing.html	(from https://az-black-plus.webflow.io/)
19:28:06	43919/43919	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:58:06%20GMT	https://az-black-plus.webflow.io/blog	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/blog.html	(from https://az-black-plus.webflow.io/)
19:28:06	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:06%20GMT	https://az-black-plus.webflow.io/checkout	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/checkout	(from https://az-black-plus.webflow.io/)
19:28:06	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:06%20GMT	https://az-black-plus.webflow.io/contact	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/contact	(from https://az-black-plus.webflow.io/)
19:28:06	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:07%20GMT	https://az-black-plus.webflow.io/template/style-guide	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/template/style-guide	(from https://az-black-plus.webflow.io/)
19:28:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:07%20GMT	https://az-black-plus.webflow.io/template/instructions	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/template/instructions	(from https://az-black-plus.webflow.io/)
19:28:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:07%20GMT	https://az-black-plus.webflow.io/template/licensing	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/template/licensing	(from https://az-black-plus.webflow.io/)
19:28:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:08%20GMT	https://az-black-plus.webflow.io/template/change-log	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/template/change-log	(from https://az-black-plus.webflow.io/)
19:28:08	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:08%20GMT	https://az-black-plus.webflow.io/404	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/404	(from https://az-black-plus.webflow.io/)
19:28:08	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:58:08%20GMT	https://az-black-plus.webflow.io/401	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/az-black-plus.webflow.io/401	(from https://az-black-plus.webflow.io/)
19:28:08	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=643e8219320d012584af3b6d	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c858da.js	(from https://az-black-plus.webflow.io/)
19:28:09	1198231/1198231	---M-Z	200	added ('OK')	text/javascript	etag:%221d006be5c9e6026c51029c2deb8ce106%22	https://assets.website-files.com/643e8219320d012584af3b6d/js/webflow.0f9029c39.js	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.DES2/assets.website-files.com/643e8219320d012584af3b6d/js/webflow.0f9029c39.js	(from https://az-black-plus.webflow.io/)
