date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:23	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:23%20GMT	https://az-black.webflow.io/robots.txt		(from )
18:36:23	41369/41369	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Sep%202023%2013:06:23%20GMT	https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/index1b59.html	(from )
18:36:24	132744/132744	---M-Z	200	added ('OK')	text/css	etag:%22b3afb45d56f83bfc61fabef30c8288ff%22	https://assets.website-files.com/63aee5793ca698452efe7f60/css/az-black.webflow.27d42eb31.css	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/assets.website-files.com/63aee5793ca698452efe7f60/css/az-black.webflow.27d42eb31.css	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:24	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:24	1274/1274	---M--	200	added ('OK')	image/png	etag:%22695dc726ac744c7aa6d563f66ce2b6d5%22	https://assets.website-files.com/63aee5793ca698452efe7f60/63b6c745a775aa914592a4da_Favicon.png	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/assets.website-files.com/63aee5793ca698452efe7f60/63b6c745a775aa914592a4da_Favicon.png	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:25	23848/23848	---M--	200	added ('OK')	image/png	etag:%226724f142d1805fcdb09dfb625fec5f3d%22	https://assets.website-files.com/63aee5793ca698452efe7f60/63b6c74b723165d0d61ac537_Webclip.png	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/assets.website-files.com/63aee5793ca698452efe7f60/63b6c74b723165d0d61ac537_Webclip.png	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:25%20GMT	https://az-black.webflow.io/template/style-guide	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/style-guide	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:26%20GMT	https://az-black.webflow.io/	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/index.html	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:26%20GMT	https://az-black.webflow.io/template/change-log	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/change-log	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:26%20GMT	https://az-black.webflow.io/template/licensing	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/licensing	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:26	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:26%20GMT	https://az-black.webflow.io/template/instructions	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/instructions	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:26	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=63aee5793ca698452efe7f60	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8cf25.js	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:27	304420/304420	---M-Z	200	added ('OK')	text/javascript	etag:%222eb45da6184a74b1562e3d30406b74cc%22	https://assets.website-files.com/63aee5793ca698452efe7f60/js/webflow.acefd76fc.js	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/assets.website-files.com/63aee5793ca698452efe7f60/js/webflow.acefd76fc.js	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:27%20GMT	https://az-black.webflow.io/template/style-guide	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/style-guide	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:27%20GMT	https://az-black.webflow.io/	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/index.html	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:28%20GMT	https://az-black.webflow.io/template/change-log	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/change-log	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:28%20GMT	https://az-black.webflow.io/template/instructions	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/instructions	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:28%20GMT	https://az-black.webflow.io/	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/index.html	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:28%20GMT	https://az-black.webflow.io/template/licensing	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/licensing	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:28%20GMT	https://az-black.webflow.io/template/style-guide	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/style-guide	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:29%20GMT	https://az-black.webflow.io/template/change-log	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/change-log	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:29%20GMT	https://az-black.webflow.io/template/licensing	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/licensing	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
18:36:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2001%20Sep%202023%2013:06:29%20GMT	https://az-black.webflow.io/template/instructions	C:/Users/vishn/OneDrive/Desktop/Neura%20Website%20stuff/black.webflow.DES/az-black.webflow.io/template/instructions	(from https://az-black.webflow.io/?gspk=OTA0NDY5&gsxid=o2wRtQWcKSuN&utm_medium=affiliate)
